dataset_type,arch,neurons,sample,epochs,iteration,weight_file,predict_file
scores-cut6-full,2,16,0.2,10,0,1731780813.pth,1731780813.json
scores-cut6-full,2,16,0.2,10,1,1731780974.pth,1731780974.json
scores-cut6-full,2,16,0.2,10,2,1731781136.pth,1731781136.json
scores-cut6-full,2,16,0.2,10,3,1731781295.pth,1731781295.json
scores-cut6-full,2,16,0.2,10,4,1731781455.pth,1731781455.json
scores-cut7-full,1,16,0.1,10,0,1731781616.pth,1731781616.json
scores-cut7-full,1,16,0.1,10,1,1731781689.pth,1731781689.json
scores-cut7-full,1,16,0.1,10,2,1731781762.pth,1731781762.json
scores-cut7-full,1,16,0.1,10,3,1731781835.pth,1731781835.json
scores-cut7-full,1,16,0.1,10,4,1731781908.pth,1731781908.json
scores-cut7-full,2,16,0.1,10,0,1731781981.pth,1731781981.json
scores-cut7-full,2,16,0.1,10,1,1731782060.pth,1731782060.json
scores-cut7-full,2,16,0.1,10,2,1731782141.pth,1731782141.json
scores-cut7-full,2,16,0.1,10,3,1731782225.pth,1731782225.json
scores-cut7-full,2,16,0.1,10,4,1731782308.pth,1731782308.json
scores-cut7-full,1,16,0.2,10,0,1731782395.pth,1731782395.json
scores-cut7-full,1,16,0.2,10,1,1731782552.pth,1731782552.json
scores-cut7-full,1,16,0.2,10,2,1731782710.pth,1731782710.json
scores-cut7-full,1,16,0.2,10,3,1731782864.pth,1731782864.json
scores-cut7-full,1,16,0.2,10,4,1731783020.pth,1731783020.json
scores-cut7-full,2,16,0.2,10,0,1731783178.pth,1731783178.json
scores-cut7-full,2,16,0.2,10,1,1731783347.pth,1731783347.json
scores-cut7-full,2,16,0.2,10,2,1731783509.pth,1731783509.json
scores-cut7-full,2,16,0.2,10,3,1731783669.pth,1731783669.json
scores-cut7-full,2,16,0.2,10,4,1731783829.pth,1731783829.json
scores-cut8-full,1,16,0.1,10,0,1731783989.pth,1731783989.json
scores-cut8-full,1,16,0.1,10,1,1731784062.pth,1731784062.json
scores-cut8-full,1,16,0.1,10,2,1731784134.pth,1731784134.json
scores-cut8-full,1,16,0.1,10,3,1731784207.pth,1731784207.json
scores-cut8-full,1,16,0.1,10,4,1731784280.pth,1731784280.json
scores-cut8-full,2,16,0.1,10,0,1731784354.pth,1731784354.json
scores-cut8-full,2,16,0.1,10,1,1731784432.pth,1731784432.json
scores-cut8-full,2,16,0.1,10,2,1731784512.pth,1731784512.json
scores-cut8-full,2,16,0.1,10,3,1731784591.pth,1731784591.json
scores-cut8-full,2,16,0.1,10,4,1731784671.pth,1731784671.json
scores-cut8-full,1,16,0.2,10,0,1731784751.pth,1731784751.json
scores-cut8-full,1,16,0.2,10,1,1731784898.pth,1731784898.json
scores-cut8-full,1,16,0.2,10,2,1731785045.pth,1731785045.json
scores-cut8-full,1,16,0.2,10,3,1731785192.pth,1731785192.json
scores-cut8-full,1,16,0.2,10,4,1731785340.pth,1731785340.json
scores-cut8-full,2,16,0.2,10,0,1731785486.pth,1731785486.json
scores-cut8-full,2,16,0.2,10,1,1731785647.pth,1731785647.json
scores-cut8-full,2,16,0.2,10,2,1731785808.pth,1731785808.json
scores-cut8-full,2,16,0.2,10,3,1731785969.pth,1731785969.json
scores-cut8-full,2,16,0.2,10,4,1731786130.pth,1731786130.json
