dataset_type,arch,neurons,sample,epochs,iteration,weight_file,predict_file
scores-cut6-full,2,16,0.2,10,0,1731508730.pth,1731508730.json
scores-cut6-full,2,16,0.2,10,1,1731508875.pth,1731508875.json
scores-cut6-full,2,16,0.2,10,2,1731509019.pth,1731509019.json
scores-cut6-full,2,16,0.2,10,3,1731509165.pth,1731509165.json
scores-cut6-full,2,16,0.2,10,4,1731509310.pth,1731509310.json
scores-cut7-full,1,16,0.1,10,0,1731509458.pth,1731509458.json
scores-cut7-full,1,16,0.1,10,1,1731509525.pth,1731509525.json
scores-cut7-full,1,16,0.1,10,2,1731509592.pth,1731509592.json
scores-cut7-full,1,16,0.1,10,3,1731509658.pth,1731509658.json
scores-cut7-full,1,16,0.1,10,4,1731509725.pth,1731509725.json
scores-cut7-full,2,16,0.1,10,0,1731509792.pth,1731509792.json
scores-cut7-full,2,16,0.1,10,1,1731509866.pth,1731509866.json
scores-cut7-full,2,16,0.1,10,2,1731509939.pth,1731509939.json
scores-cut7-full,2,16,0.1,10,3,1731510012.pth,1731510012.json
scores-cut7-full,2,16,0.1,10,4,1731510085.pth,1731510085.json
scores-cut7-full,1,16,0.2,10,0,1731510158.pth,1731510158.json
scores-cut7-full,1,16,0.2,10,1,1731510294.pth,1731510294.json
scores-cut7-full,1,16,0.2,10,2,1731510427.pth,1731510427.json
scores-cut7-full,1,16,0.2,10,3,1731510562.pth,1731510562.json
scores-cut7-full,1,16,0.2,10,4,1731510698.pth,1731510698.json
scores-cut7-full,2,16,0.2,10,0,1731510833.pth,1731510833.json
scores-cut7-full,2,16,0.2,10,1,1731510983.pth,1731510983.json
scores-cut7-full,2,16,0.2,10,2,1731511144.pth,1731511144.json
scores-cut7-full,2,16,0.2,10,3,1731511303.pth,1731511303.json
scores-cut7-full,2,16,0.2,10,4,1731511461.pth,1731511461.json
scores-cut8-full,1,16,0.1,10,0,1731511623.pth,1731511623.json
scores-cut8-full,1,16,0.1,10,1,1731511694.pth,1731511694.json
scores-cut8-full,1,16,0.1,10,2,1731511764.pth,1731511764.json
scores-cut8-full,1,16,0.1,10,3,1731511837.pth,1731511837.json
scores-cut8-full,1,16,0.1,10,4,1731511909.pth,1731511909.json
scores-cut8-full,2,16,0.1,10,0,1731511981.pth,1731511981.json
scores-cut8-full,2,16,0.1,10,1,1731512057.pth,1731512057.json
scores-cut8-full,2,16,0.1,10,2,1731512132.pth,1731512132.json
scores-cut8-full,2,16,0.1,10,3,1731512207.pth,1731512207.json
scores-cut8-full,2,16,0.1,10,4,1731512284.pth,1731512284.json
scores-cut8-full,1,16,0.2,10,0,1731512360.pth,1731512360.json
scores-cut8-full,1,16,0.2,10,1,1731512497.pth,1731512497.json
scores-cut8-full,1,16,0.2,10,2,1731512635.pth,1731512635.json
scores-cut8-full,1,16,0.2,10,3,1731512773.pth,1731512773.json
scores-cut8-full,1,16,0.2,10,4,1731512912.pth,1731512912.json
scores-cut8-full,2,16,0.2,10,0,1731513051.pth,1731513051.json
scores-cut8-full,2,16,0.2,10,1,1731513205.pth,1731513205.json
scores-cut8-full,2,16,0.2,10,2,1731513355.pth,1731513355.json
scores-cut8-full,2,16,0.2,10,3,1731513505.pth,1731513505.json
scores-cut8-full,2,16,0.2,10,4,1731513658.pth,1731513658.json
